stars,movies,appearances
Akshay Kumar,"['Dil To Pagal Hai', 'Hera Pheri', 'Aankhen', 'Khakee', 'Mujhse Shaadi Karogi', 'Aitraaz', 'Garam Masala', 'Phir Hera Pheri', 'Bhagam Bhag', 'Bhool Bhulaiyaa', 'Namastey London', 'Welcome', 'Heyy Babyy', 'Singh Is King', 'Khatta Meetha', 'Housefull', 'Desi Boyz', 'OMG: Oh My God!', 'Rowdy Rathore', 'Housefull 2', 'Special 26', 'Boss', 'Holiday: A Soldier is Never Off Duty', 'Baby', 'Gabbar Is Back', 'Brothers', 'Airlift', 'Rustom', 'Toilet: A Love Story', 'Jolly LLB 2', 'Pad Man', '2', 'Kesari', 'Good Newwz', 'Mission Mangal', 'Atrangi Re', 'Sooryavanshi', 'Bellbottom', 'Cuttputlli', 'Samrat Prithviraj', 'Raksha Bandhan', 'Ram Setu', 'Bachchhan Paandey', 'Selfiee']",44
Akshaye Khanna,"['Border', 'Dil Chahta Hai', 'Hungama', 'Race', 'Ittefaq', 'Mom', 'Section 375', 'Drishyam 2']",8
Aku Hirviniemi,['The Unknown Soldier'],1
Akuol Ngot,['Gold'],1
Al Cliver,['Zombie'],1
Al Ernest Garcia,['The Circus'],1
Al Jolson,['The Jazz Singer'],1
Al Madrigal,['The Way Back'],1
Al Michaels,['Homeward Bound II: Lost in San Francisco'],1
Al Pacino,"['The Panic in Needle Park', 'The Godfather', 'Serpico', 'Scarecrow', 'The Godfather Part II', 'Dog Day Afternoon', 'And Justice for All', 'Cruising', 'Sea of Love', 'The Godfather Part III', 'Dick Tracy', 'Frankie and Johnny', 'Scent of a Woman', 'Glengarry Glen Ross', ""Carlito's Way"", 'City Hall', 'Donnie Brasco', ""The Devil's Advocate"", 'The Insider', 'Any Given Sunday', 'Insomnia', 'S1m0ne', 'People I Know', 'The Recruit', 'The Merchant of Venice', 'Two for the Money', '88 Minutes', 'Righteous Kill', 'The Son of No One', 'Stand Up Guys', 'Danny Collins', 'Misconduct', 'The Pirates of Somalia', 'Hangman', 'The Irishman', 'House of Gucci']",36
Alain Chabat,"['Fear City: A Family-Style Comedy', 'The Taste of Others', 'The Science of Sleep']",3
Alain Cuny,['Emmanuelle'],1
Alain Delon,"['Rocco and His Brothers', 'Purple Noon', ""L'Eclisse"", 'The Leopard', 'Le Samouraï', 'La Piscine', 'The Red Circle', 'Red Sun', 'A Cop', 'Asterix at the Olympic Games']",10
Alain Gagnol,['A Cat in Paris'],1
Alakina Mann,['The Others'],1
Alan Alda,"['Canadian Bacon', 'Mad City', 'What Women Want', 'Flash of Genius', 'Tower Heist', 'Bridge of Spies', 'The Longest Ride']",7
Alan Arkin,"['Wait Until Dark', 'Catch-22', 'The Last Unicorn', 'The Rocketeer', 'Glengarry Glen Ross', 'Slums of Beverly Hills', 'Thirteen Conversations About One Thing', 'Noel', 'Rendition', 'Sunshine Cleaning', 'Get Smart', 'The Private Lives of Pippa Lee', 'Argo', 'Stand Up Guys', 'Grudge Match', 'Million Dollar Arm', 'Going in Style', 'Spenser Confidential', 'Minions: The Rise of Gru']",19
Alan Badel,['The Day of the Jackal'],1
Alan Bates,"['Zorba the Greek', 'Hamlet']",2
Alan Baxter,['Saboteur'],1
Alan Blumenfeld,['1BR'],1
Alan Boyle,['The Butcher Boy'],1
Alan Cox,['Young Sherlock Holmes'],1
Alan Cumming,"['Black Beauty', 'Emma', ""Romy and Michele's High School Reunion"", 'Burlesque']",4
Alan Curtis,['High Sierra'],1
Alan Davies,"['Angus, Thongs and Perfect Snogging']",1
Alan Howard,"['The Cook, the Thief, His Wife & Her Lover']",1
Alan J. Levi,['Battlestar Galactica'],1
Alan Kim,['Minari'],1
Alan King,"[""Cat's Eye"", ""Rory O'Shea Was Here""]",2
Alan Ladd,"['This Gun for Hire', 'Shane', ""Dead Men Don't Wear Plaid""]",3
Alan Mak,"['Infernal Affairs', 'Infernal Affairs II', 'Infernal Affairs III']",3
Alan Marshal,['House on Haunted Hill'],1
Alan North,['Lean on Me'],1
Alan Randolph Scott,['Night on Earth'],1
Alan Rickman,"['Die Hard', 'Quigley Down Under', 'Bob Roberts', 'Galaxy Quest', 'Perfume: The Story of a Murderer', 'Snow Cake', 'Sweeney Todd: The Demon Barber of Fleet Street', 'Bottle Shock', 'Gambit', 'CBGB', 'A Little Chaos', 'Eye in the Sky']",12
Alan Ritchson,"['Blue Mountain State: The Rise of Thadland', 'Ghosts of War']",2
Alan Ruck,"[""Ferris Bueller's Day Off""]",1
Alan Tam,['Armour of God'],1
Alan Tudyk,"['I, Robot', 'Serenity', 'Tucker and Dale vs Evil', 'Rogue One: A Star Wars Story']",4
Alan Vint,['The Panic in Needle Park'],1
Alan Webb,['The Great Train Robbery'],1
Alan Young,"['The Time Machine', 'DuckTales the Movie: Treasure of the Lost Lamp']",2
Alana Haim,['Licorice Pizza'],1
Alanna Ubach,['Coco'],1
Alastair Duncan,['Split Second'],1
